,brand,model,price,engine,fuel,bodytype,transmission,colour,mileage,year,owners,doors,phone,county
0,Audi A1,SOLD SOLD SPORT 1.2 TFSI 86BHP 2DR*SALE NOW ON STRAIGHT DEAL OFFERS*,"€14,500",1.2,Petrol,Hatchback,Manual,White,"146,450 km",2015 (151),"['2', 'owners']","['2', 'doors']","(090) 974 1077, 087 638 5033",Galway
1,Audi A3,A3 SPORTBACK 1.4TFSI E 204BHP AUTOMATIC HYBRID WITH FN PACK PACK,"€38,995",1.4,Petrol,Hatchback,Automatic,Blue,"25,111 km",2021 (211),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
2,Audi A3,1.6TDI 116 S Line,"€25,900",1.6,Diesel,Saloon,Manual,Black,"75,451 km",2018 (182),"['1', 'owner']","['4', 'doors']",(01) 255 1216,Cork
3,Volvo S60,"T4 190hp (Petrol) Inscription Auto, Nappa Leather Sport Seats Smartphone Integration With Apple & Android Car Play, Adaptive Cruise Control","€46,950",2.0,Petrol,Saloon,Automatic,Pebble Grey,"22,638 km",2021 (211),"['1', 'owner']","['4', 'doors']",(01) 691 7760,Dublin
4,A1,1.2 Hatchback Petrol Manual (86bhp),"€8,900",1.2,Petrol,Hatchback,Manual,Silver,"188,000 km",2011,"['6', 'owners']","['3', 'doors']",087 095 9703,"class=""fpa-actions__sub-title"">Kildare"
5,Audi A4,2.0 TDI 120BHP,"€13,999",2.0,Diesel,Saloon,Manual,Black,"177,639 km",2014 (141),"['3', 'owners']","['4', 'doors']",(01) 531 4520,Dublin
6,Alfa Romeo Giulietta,"COLLEZIONE,1.4 PETROL,-SERV.HISTORY","€9,450",1.4,Petrol,Hatchback,Manual,Black,"164,149 km",2013 (132),"['2', 'owners']","['5', 'doors']",087 171 2185,Galway
7,Audi A3,1.0 Petrol S Line Sportback Black Edition Manual,"€28,999",1.0,Petrol,Hatchback,Manual,Grey,"25,403 km",2019 (191),"['1', 'owner']","['5', 'doors']",(01) 403 6700,Dublin
8,Audi A3,30TFSI 116 SE (S-LINE EXTERIOR),"€28,000",1.0,Petrol,Hatchback,Manual,Grey,"41,389 km",2019 (191),"['2', 'owners']","['4', 'doors']",(01) 858 0208,Dublin
9,Audi A3,"S Line 30 TFSi 116hp Bluetooth,Aircon, Cruise Control","€28,850",1.0,Petrol,Saloon,Manual,Blue,"71,498 km",2020 (202),"['1', 'owner']","['4', 'doors']",(01) 869 2170,Dublin
10,Audi A3,2021 Audi A3 LIMOUSINE 30 TFSI 110HP S LINE 4DR,"€38,950",1.0,Petrol,Saloon,Manual,Black,"10,180 km",2021 (211),"['2', 'owners']","['4', 'doors']",(01) 269 4477,Dublin
11,Audi A1,1.4 TFSI S TRONIC SPORTBACK,"€14,500",1.4,Petrol,Hatchback,Automatic,Red,"98,000 km",2014 (141),"['1', 'owner']","['5', 'doors']",(01) 864 2400,Dublin
12,Audi A1,1.6 Sport Hatchback Diesel Manual (90bhp),"€12,950",1.6,Diesel,Hatchback,Manual,Red,"126,983 km",2014 (141),"['2', 'owners']","['5', 'doors']",087 947 7432,"class=""fpa-actions__sub-title"">Kildare"
13,Mercedes-Benz C-Class,C200 1.6 TDI Mercedes Benz * STUNNING BLUE *,"€23,795",1.6,Diesel,Saloon,Automatic,Blue,"140,167 km",2017 (171),"['1', 'owner']","['5', 'doors']",(096) 25777,Mayo
14,Audi A3,Sport Black Edition - Leather,"€24,900",1.6,Diesel,Hatchback,Manual,Tango Red Metallic,"88,512 km",2019 (191),"['1', 'owner']","['5', 'doors']","(01) 564 4083, 087 744 4454",Dublin
15,SEAT Ibiza,IBIZA 1.0TSI 95BHP XCELLENCE PLUS,"€22,450",1.0,Petrol,Hatchback,Manual,Grey,"7,580 km",2021 (212),"['1', 'owner']","['5', 'doors']",(021) 601 9036,Cork
16,Alfa Romeo Stelvio,2.0l Turbo 200hp AWD Lusso TI-LEATHER-CAMERA-SAT NAV-D.N.A SUSPENSION SET UP,"€56,950",2.0,Petrol,SUV,Automatic,Grey Metallic,"28,500 km",2021 (212),"['1', 'owner']","['5', 'doors']",(021) 432 0266,Cork
